symbol,companyName,sector,industry,marketCap,oneYearReturnPct,cik,capital_need_score,cash_runway_component,leverage_component,capex_component,sector_component,active_unused_shelf,profitability_override,score_note,first_seen_date
HUYA,HUYA Inc. American depositary shares each  representing one Class A ordinary share,Technology,Computer Software: Programming Data Processing,497838083.0,-35.39,0001728190,20.2,0.3,0.2,0.15,0.25,False,False,,2026-08-30
BL,BlackLine Inc. Common Stock,Technology,Computer Software: Prepackaged Software,1916971405.0,-39.34,0001666134,19.2,0.1,0.4,0.15,0.3,False,False,,2026-08-30
GLOB,Globant S.A. Common Shares,Technology,EDP Services,1749635609.0,-39.76,0001557860,19.2,0.3,0.15,0.15,0.25,False,False,,2026-08-30
NCNO,nCino Inc. Common Stock,Technology,Computer Software: Prepackaged Software,2430874640.0,-28.4,0001902733,19.2,0.1,0.4,0.15,0.3,False,False,,2026-08-30
BLND,Blend Labs Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,359500245.0,-58.01,0001855747,19.0,0.1,0.2,0.4,0.3,False,False,,2026-08-30
LTBR,Lightbridge Corporation Common Stock,Basic Materials,Major Chemicals,282808587.0,-50.1,0001084554,18.5,0.1,0.3,0.3,0.25,False,False,,2026-08-30
MBI,MBIA Inc. Common Stock,Finance,Property-Casualty Insurers,244368767.0,-39.82,0000814585,18.5,0.1,0.3,0.3,0.25,False,False,,2026-08-30
PNNT,PennantPark Investment Corporation Common Stock,Finance,Finance: Consumer Services,241595548.0,-37.06,0001383414,18.5,0.1,0.3,0.3,0.25,False,True,,2026-08-30
ANGI,Angi Inc. Class A Common Stock,Consumer Discretionary,Advertising,204403505.0,-71.56,0001705110,18.2,0.1,0.4,0.15,0.25,False,False,,2026-08-30
FLO,Flowers Foods Inc. Common Stock,Consumer Staples,Packaged Foods,1505607668.0,-48.67,0001128928,18.2,0.1,0.4,0.15,0.25,False,True,,2026-08-30
HCKT,Hackett Group Inc (The). Common Stock,Consumer Discretionary,Professional Services,282115080.0,-43.74,0001057379,18.2,0.1,0.4,0.15,0.25,False,True,,2026-08-30
INGN,Inogen Inc Common Stock,Health Care,Industrial Specialties,145960854.0,-31.16,0001294133,18.2,0.1,0.2,0.15,0.45,False,False,,2026-08-30
KD,Kyndryl Holdings Inc. Common Stock,Technology,EDP Services,2875201072.0,-58.48,0001867072,18.2,0.1,0.4,0.15,0.25,False,False,,2026-08-30
KEQU,Kewaunee Scientific Corporation Common Stock,Industrials,Medical Specialities,108444090.0,-33.36,0000055529,18.2,0.1,0.4,0.15,0.25,False,False,,2026-08-30
MVST,Microvast Holdings Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,277672352.0,-72.96,0001760689,18.2,0.1,0.4,0.15,0.25,False,False,,2026-08-30
PRCT,PROCEPT BioRobotics Corporation Common Stock,Health Care,Medical/Dental Instruments,1193010317.0,-48.15,0001588978,18.2,0.1,0.2,0.15,0.45,False,False,,2026-08-30
PTON,Peloton Interactive Inc. Class A Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,2391851315.0,-28.29,0001639825,18.2,0.1,0.4,0.15,0.25,False,False,,2026-08-30
QTRX,Quanterix Corporation Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,124853692.0,-41.98,0001503274,18.2,0.1,0.2,0.15,0.45,False,False,,2026-08-30
SHOE,Shoe Station Group Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,371701407.0,-32.05,0000895447,18.2,0.1,0.4,0.15,0.25,False,True,,2026-08-30
TASK,TaskUs Inc. Class A Common Stock,Technology,EDP Services,769254106.0,-26.52,0001829864,18.2,0.1,0.4,0.15,0.25,False,False,,2026-08-30
TREE,LendingTree Inc. Common Stock,Finance,Finance: Consumer Services,406585687.0,-57.38,0001434621,18.2,0.1,0.4,0.15,0.25,False,False,,2026-08-30
WWW,Wolverine World Wide Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing,1669229335.0,-34.94,0000110471,18.2,0.1,0.4,0.15,0.25,False,True,,2026-08-30
INSP,Inspire Medical Systems Inc. Common Stock,Health Care,Medical/Dental Instruments,1776253440.0,-34.42,0001609550,17.2,0.1,0.15,0.15,0.45,False,False,,2026-08-30
SMID,Smith-Midland Corporation Common Stock,Industrials,Building Materials,133145611.0,-41.86,0000924719,17.0,0.1,0.15,0.4,0.25,False,False,,2026-08-30
EVEX,Eve Holding Inc. Common Stock,Industrials,Aerospace,805003429.0,-41.22,0001823652,16.5,0.1,0.2,0.3,0.25,False,False,,2026-08-30
GFUZ,General Fusion Group Ltd. Common Shares,Utilities,Electric Utilities: Central,446719888.0,-30.4,0002074850,16.5,0.1,0.2,0.3,0.25,False,False,,2026-08-30
FUBO,FuboTV Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment,1124726989.0,-75.68,0001484769,16.2,0.1,0.3,0.15,0.25,False,False,,2026-08-30
OPFI,OppFi Inc. Class A Common Stock,Finance,Finance: Consumer Services,602422306.0,-30.75,0001818502,16.2,0.1,0.3,0.15,0.25,False,False,,2026-08-30
AI,C3.ai Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,1636880887.0,-37.73,0001577526,15.2,0.1,0.2,0.15,0.3,False,False,,2026-08-30
ASAN,Asana Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,2348895137.0,-30.21,0001477720,15.2,0.1,0.2,0.15,0.3,False,False,,2026-08-30
SPT,Sprout Social Inc Class A Common Stock,Technology,Computer Software: Prepackaged Software,696204516.0,-27.23,0001517375,15.2,0.1,0.2,0.15,0.3,False,False,,2026-08-30
VIA,Via Transportation Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,2328615363.0,-42.29,0001603015,15.2,0.1,0.2,0.15,0.3,False,False,,2026-08-30
WLTH,Wealthfront Corporation Common Stock,Finance,Finance: Consumer Services,1381591248.0,-33.69,0001524566,15.2,0.1,0.2,0.15,0.3,False,False,,2026-08-30
AGNT,AGNT Inc. Common Stock,Finance,Real Estate,708580053.0,-59.52,0001495932,14.3,0.1,0.2,0.15,0.25,False,True,,2026-08-30
COUR,Coursera Inc. Common Stock,Technology,Computer Software: Prepackaged Software,1710668000.0,-43.74,0001651562,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
DOUG,Douglas Elliman Inc. Common Stock,Finance,Real Estate,166329566.0,-32.72,0001878897,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
MTRX,Matrix Service Company Common Stock,Consumer Discretionary,Engineering & Construction,304689596.0,-28.42,0000866273,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
SFIX,Stitch Fix Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,419624317.0,-40.55,0001576942,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
SSYS,Stratasys Ltd. Ordinary Shares (Israel),Technology,Computer peripheral equipment,666975452.0,-27.32,0001517396,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
STUB,StubHub Holdings Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,2502689277.0,-70.23,0001337634,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
TDUP,ThredUp Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,357227528.0,-74.86,0001484778,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
WBTN,WEBTOON Entertainment Inc. Common stock,Consumer Discretionary,Publishing,1389681357.0,-29.23,0001997859,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
ZVIA,Zevia PBC Class A Common Stock,Consumer Staples,Beverages (Production/Distribution),111377377.0,-48.57,0001854139,14.3,0.1,0.2,0.15,0.25,False,False,,2026-08-30
CALX,Calix Inc Common Stock,Consumer Discretionary,Telecommunications Equipment,2360519948.0,-36.94,0001406666,14.2,0.1,0.15,0.15,0.3,False,False,,2026-08-30
CMRC,Commerce.com Inc. Series 1 Common Stock,Technology,Computer Software: Prepackaged Software,207147478.0,-46.24,0001626450,14.2,0.1,0.15,0.15,0.3,False,False,,2026-08-30
MNTN,MNTN Inc. Class A Common Stock,Consumer Discretionary,Advertising,989645846.0,-35.18,0001891027,14.2,0.1,0.15,0.15,0.3,False,False,,2026-08-30
MQ,Marqeta Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,1714507796.0,-35.31,0001522540,14.2,0.1,0.15,0.15,0.3,False,False,,2026-08-30
